iteration,time,result
6793422,3600.2448654174805,46150582470084
6793423,3600.245383501053,46150596056929
6793424,3600.2459449768066,46150609643776
6793425,3600.246469259262,46150623230625
6793426,3600.2470808029175,46150636817476
6793427,3600.247627019882,46150650404329
6793428,3600.248147010803,46150663991184
6793429,3600.2486646175385,46150677578041
6793430,3600.249181509018,46150691164900
6793431,3600.2496976852417,46150704751761
6793432,3600.2502143383026,46150718338624
6793433,3600.2507326602936,46150731925489
6793434,3600.2512497901917,46150745512356
6793435,3600.2517659664154,46150759099225
6793436,3600.252280473709,46150772686096
6793437,3600.2527964115143,46150786272969
6793438,3600.253314256668,46150799859844
6793439,3600.253877878189,46150813446721
6793440,3600.2544033527374,46150827033600
6793441,3600.2549221515656,46150840620481
6793442,3600.255439043045,46150854207364
6793443,3600.2559521198273,46150867794249
6793444,3600.2564690113068,46150881381136
6793445,3600.2570345401764,46150894968025
6793446,3600.2575962543488,46150908554916
6793447,3600.258116722107,46150922141809
6793448,3600.258634328842,46150935728704
6793449,3600.2591519355774,46150949315601
6793450,3600.2596666812897,46150962902500
6793451,3600.2601840496063,46150976489401
6793452,3600.260700941086,46150990076304
6793453,3600.261216878891,46151003663209
6793454,3600.2617812156677,46151017250116
6793455,3600.2623059749603,46151030837025
6793456,3600.262823820114,46151044423936
6793457,3600.263336658478,46151058010849
6793458,3600.2638535499573,46151071597764
6793459,3600.264370203018,46151085184681
6793460,3600.2648844718933,46151098771600
6793461,3600.2654025554657,46151112358521
6793462,3600.2659182548523,46151125945444
6793463,3600.266433954239,46151139532369
6793464,3600.267096757889,46151153119296
6793465,3600.2676434516907,46151166706225
6793466,3600.268165588379,46151180293156
6793467,3600.2686836719513,46151193880089
6793468,3600.2692012786865,46151207467024
6793469,3600.2697670459747,46151221053961
6793470,3600.2702968120575,46151234640900
6793471,3600.2708179950714,46151248227841
6793472,3600.271338224411,46151261814784
6793473,3600.2718558311462,46151275401729
6793474,3600.27237200737,46151288988676
6793475,3600.2728905677795,46151302575625
6793476,3600.273409128189,46151316162576
6793477,3600.2739267349243,46151329749529
6793478,3600.274445772171,46151343336484
6793479,3600.2749614715576,46151356923441
6793480,3600.275477409363,46151370510400
6793481,3600.2759931087494,46151384097361
6793482,3600.276508331299,46151397684324
6793483,3600.27707695961,46151411271289
6793484,3600.277676820755,46151424858256
6793485,3600.2782130241394,46151438445225
6793486,3600.278735637665,46151452032196
6793487,3600.27925157547,46151465619169
6793488,3600.279771089554,46151479206144
6793489,3600.280289411545,46151492793121
6793490,3600.280807495117,46151506380100
6793491,3600.2813279628754,46151519967081
6793492,3600.2818472385406,46151533554064
6793493,3600.2823626995087,46151547141049
6793494,3600.2828798294067,46151560728036
6793495,3600.283398628235,46151574315025
6793496,3600.2839176654816,46151587902016
6793497,3600.2844338417053,46151601489009
6793498,3600.284947156906,46151615076004
6793499,3600.2854616642,46151628663001
6793500,3600.286024570465,46151642250000
6793501,3600.2865431308746,46151655837001
6793502,3600.2871565818787,46151669424004
6793503,3600.2877049446106,46151683011009
6793504,3600.288224697113,46151696598016
6793505,3600.2887444496155,46151710185025
6793506,3600.2892591953278,46151723772036
6793507,3600.2897770404816,46151737359049
6793508,3600.290294647217,46151750946064
6793509,3600.290807247162,46151764533081
6793510,3600.2913250923157,46151778120100
6793511,3600.291846036911,46151791707121
6793512,3600.292364358902,46151805294144
6793513,3600.2928829193115,46151818881169
6793514,3600.2934012413025,46151832468196
6793515,3600.2939677238464,46151846055225
6793516,3600.294492006302,46151859642256
6793517,3600.2950100898743,46151873229289
6793518,3600.2955284118652,46151886816324
6793519,3600.2960464954376,46151900403361
6793520,3600.2965655326843,46151913990400
6793521,3600.29713511467,46151927577441
6793522,3600.2976882457733,46151941164484
6793523,3600.29821062088,46151954751529
6793524,3600.298726797104,46151968338576
6793525,3600.299242734909,46151981925625
6793526,3600.2997603416443,46151995512676
6793527,3600.3002758026123,46152009099729
6793528,3600.300792455673,46152022686784
6793529,3600.3013124465942,46152036273841
6793530,3600.301877260208,46152049860900
6793531,3600.302396774292,46152063447961
6793532,3600.3029160499573,46152077035024
6793533,3600.303431034088,46152090622089
6793534,3600.303946018219,46152104209156
6793535,3600.30446267128,46152117796225
6793536,3600.3049812316895,46152131383296
6793537,3600.305498123169,46152144970369
6793538,3600.3060133457184,46152158557444
6793539,3600.306530714035,46152172144521
6793540,3600.3071439266205,46152185731600
6793541,3600.3076899051666,46152199318681
6793542,3600.308209180832,46152212905764
6793543,3600.3087265491486,46152226492849
6793544,3600.309244632721,46152240079936
6793545,3600.3098080158234,46152253667025
6793546,3600.3103330135345,46152267254116
6793547,3600.3108530044556,46152280841209
6793548,3600.3113684654236,46152294428304
6793549,3600.3118875026703,46152308015401
6793550,3600.3124046325684,46152321602500
6793551,3600.312919855118,46152335189601
6793552,3600.3134381771088,46152348776704
6793553,3600.31395983696,46152362363809
6793554,3600.3144788742065,46152375950916
6793555,3600.3149943351746,46152389538025
6793556,3600.3155126571655,46152403125136
6793557,3600.316027402878,46152416712249
6793558,3600.316541671753,46152430299364
6793559,3600.317106485367,46152443886481
6793560,3600.3177032470703,46152457473600
6793561,3600.318235397339,46152471060721
6793562,3600.3187532424927,46152484647844
6793563,3600.319321155548,46152498234969
6793564,3600.3198404312134,46152511822096
6793565,3600.320358276367,46152525409225
6793566,3600.3208751678467,46152538996356
6793567,3600.321393966675,46152552583489
6793568,3600.321909427643,46152566170624
6793569,3600.3224260807037,46152579757761
6793570,3600.322943687439,46152593344900
6793571,3600.3234584331512,46152606932041
6793572,3600.3239765167236,46152620519184
6793573,3600.3244965076447,46152634106329
6793574,3600.3250160217285,46152647693476
6793575,3600.3255558013916,46152661280625
6793576,3600.3260951042175,46152674867776
6793577,3600.32661485672,46152688454929
6793578,3600.327238559723,46152702042084
6793579,3600.327781200409,46152715629241
6793580,3600.3283019065857,46152729216400
6793581,3600.3288173675537,46152742803561
6793582,3600.3293328285217,46152756390724
6793583,3600.329849720001,46152769977889
6793584,3600.3303620815277,46152783565056
6793585,3600.330878973007,46152797152225
6793586,3600.3313937187195,46152810739396
6793587,3600.3319339752197,46152824326569
6793588,3600.3324842453003,46152837913744
6793589,3600.333010673523,46152851500921
6793590,3600.3335604667664,46152865088100
6793591,3600.334106206894,46152878675281
6793592,3600.3346271514893,46152892262464
6793593,3600.3351471424103,46152905849649
6793594,3600.33566737175,46152919436836
6793595,3600.336186170578,46152933024025
6793596,3600.336704015732,46152946611216
